#{"t_start": 1766910428.664877, "env_id": "BipedalWalker-v3"}
r,l,t
-123.346587,69,0.020619
-146.790478,1600,0.362429
-126.030465,1600,1.033889
-104.033858,90,1.053681
-134.592631,1600,1.706942
-118.504201,75,1.723433
-104.042847,73,1.738953
-116.592499,66,1.753271
-125.385718,1600,2.40852
-112.81375,107,2.430422
-109.237872,56,2.442858
-107.520045,51,2.453868
-127.367707,1600,3.105997
-107.703161,71,3.121541
-118.64479,59,3.134286
-114.43998,59,3.147096
-138.725896,1600,3.798168
-124.021842,73,3.81443
-100.301948,1600,4.158779
-120.671884,1600,4.816699
-129.621886,171,4.850972
-114.313023,1600,5.50742
-115.854298,87,5.526556
-109.792994,1600,6.182251
-100.027143,1600,6.839019
-84.226423,1600,7.185409
-79.812906,1600,7.843447
-61.740448,1600,8.495365
-104.298145,72,8.510603
-101.814252,75,8.52702
-87.909801,1600,9.18062
-74.901538,1600,9.831153
-67.315928,1600,10.168443
-62.291765,1600,10.816859
-130.942428,94,10.836887
-68.86811,1600,11.486145
-54.305763,1600,12.134383
-62.573282,1600,12.780433
-51.470153,1600,13.11026
-42.509356,1600,13.752682
-116.547669,59,13.765983
-110.790481,46,13.776494
-131.057735,163,13.809786
-112.733717,82,13.826857
-131.368497,181,13.863887
-52.499579,1600,14.509417
-40.144313,1600,15.153297
-113.974425,56,15.166167
-37.643099,1600,15.808492
-36.408434,1600,16.450403
-35.917177,1600,16.781617
-27.868167,1600,17.428305
-9.372825,1600,18.239988
-118.338082,118,18.268794
-25.650589,1600,19.499172
-32.408319,1600,20.238726
-24.138504,1600,20.602648
-1.391322,1600,21.317549
8.852834,1600,21.967041
20.410096,1600,22.617634
71.502968,1600,22.945678
42.13249,1600,23.588699
52.498644,1600,24.236232
-48.616295,1434,24.846847
81.472982,1600,25.178969
109.882405,1600,25.824707
115.314672,1600,26.466841
130.653756,1600,27.110249
119.746423,1600,27.754223
131.196419,1600,28.082561
33.658657,1149,28.629911
161.758605,1600,29.275408
-72.123444,312,29.341208
-36.873183,560,29.456635
217.845649,1600,30.09753
157.291699,1600,30.750955
-96.768251,101,30.772241
102.383414,1287,31.033555
-100.096302,67,31.048536
-18.63412,666,31.499613
-92.209576,252,31.551777
213.006341,1600,32.192082
96.164258,1483,32.495659
-104.838725,208,32.538997
222.830108,1600,33.181901
183.170124,1600,33.867527
251.584535,1600,34.51096
235.582915,1600,35.152228
280.573563,1600,35.474724
-112.397063,57,35.48709
-90.999544,154,35.519399
9.766165,926,36.020277
262.58363,1600,36.65945
59.670997,1031,36.868291
