#{"t_start": 1766910465.9799008, "env_id": "BipedalWalker-v3"}
r,l,t
-143.452858,1600,0.41647
-122.980834,52,0.430705
-116.068699,46,0.443146
-121.017439,50,0.456509
-116.868648,121,0.487705
-159.169146,1600,1.235861
-146.013859,1600,1.962033
-138.848741,160,2.002908
-111.977259,136,2.038593
-135.212118,1600,2.762726
-106.443648,39,2.77349
-119.312538,1600,3.498404
-115.927947,84,3.520636
-101.1406,52,3.534708
-113.373474,54,3.548871
-114.056973,1600,4.276425
-103.400048,100,4.301575
-113.90605,1600,4.712794
-107.788563,72,4.731892
-132.184486,108,4.758857
-99.964805,1600,5.49009
-106.313619,79,5.510789
-78.567626,1600,6.239733
-99.960341,1600,6.966419
-92.725853,93,6.990615
-80.692872,1600,7.730452
-117.111105,104,7.756737
-62.289458,1600,8.481178
-90.670536,1600,8.896934
-60.972358,1600,9.624675
-50.463993,1600,10.349715
-102.683015,53,10.364238
-103.639946,165,10.405017
-59.233587,1600,11.127863
-93.462808,76,11.147776
-101.088274,61,11.163783
-41.830747,1600,11.890071
-46.382623,1600,12.29838
-100.851279,85,12.320067
-37.348943,1600,13.044852
-33.867243,1600,13.76835
-94.493734,77,13.788406
-34.464398,1600,14.514825
-123.417541,91,14.537931
-97.431996,93,14.562498
-99.737324,65,14.579414
-96.02099,60,14.59509
-8.980147,1600,15.317123
-96.348496,63,15.333777
-17.578685,1600,16.054338
-26.668624,1600,16.457231
-20.1466,1600,17.177856
-17.60368,1600,17.897475
9.995577,1600,18.614134
-3.044548,1600,19.073488
10.57543,1600,19.795772
18.282986,1600,20.511037
31.286124,1600,21.225628
52.45404,1600,21.942652
59.630361,1600,22.344276
42.602617,1600,23.059722
74.485322,1600,23.77249
51.485504,1600,24.490278
107.966708,1600,24.887987
108.947944,1600,25.604531
107.796659,1600,26.31808
109.596557,1600,27.03241
124.761763,1600,27.749314
152.298522,1600,28.144994
132.787986,1600,28.859985
148.54286,1600,29.575321
163.306996,1600,30.289437
143.077782,1600,31.002843
156.648042,1600,31.399566
156.766085,1600,32.113294
174.06479,1600,32.824325
175.022828,1600,33.53866
196.831246,1600,33.93321
-44.439962,450,34.362031
208.333495,1600,34.759764
202.056665,1600,35.468086
211.058623,1600,36.178985
16.710977,867,36.393211
-30.184707,531,36.842125
193.51661,1600,37.239646
211.682791,1600,37.994087
220.349361,1600,38.804968
235.28538,1600,39.561796
223.157457,1600,40.287126
248.881843,1600,40.68117
