#{"t_start": 1766910548.447159, "env_id": "BipedalWalker-v3"}
r,l,t
-192.836386,1600,0.437064
-237.362027,1600,0.853101
-169.767452,1600,1.612174
-106.092993,87,1.63526
-151.483984,1600,2.053121
-99.865688,141,2.089258
-115.497048,63,2.105499
-163.674646,1600,2.851477
-101.645998,96,2.87713
-159.027807,1600,3.292193
-116.567769,45,3.304742
-167.057426,1600,3.72111
-108.226871,55,3.736121
-156.32683,1600,4.488442
-141.184363,1600,4.912763
-152.389469,1600,5.667902
-104.725917,54,5.683183
-101.369106,71,5.702098
-107.264304,56,5.717291
-103.10389,83,5.739509
-149.959976,1600,6.164673
-145.535311,1600,6.58691
-138.255584,1600,7.343398
-142.258968,86,7.366828
-105.581092,109,7.395627
-145.412567,1600,7.81702
-102.454391,70,7.836516
-116.067716,1600,8.592779
-127.815843,1600,9.01645
-135.925187,97,9.041725
-136.163251,72,9.061173
-99.813063,86,9.083988
-116.669513,1600,9.50864
-112.622802,61,9.524957
-134.357072,1600,10.28339
-108.779586,63,10.300217
-136.692751,1600,10.722678
-108.108336,1600,11.477204
-131.856056,1600,11.900251
-120.344728,1600,12.323822
-114.359225,84,12.345752
-115.088935,1600,13.101091
-123.225597,1600,13.524457
-105.296879,1600,14.2774
-108.798402,64,14.294645
-100.611854,1600,14.713449
-88.484647,1600,15.13325
-72.352721,1600,15.882986
-81.923,1600,16.295837
-94.821373,1600,17.046382
-62.729103,1600,17.462963
-106.096925,43,17.474848
-83.505989,1600,17.889742
-66.491041,1600,18.636454
-56.508298,1600,19.054179
-43.509052,1600,19.830313
-101.53755,73,19.850099
-60.691177,1600,20.26143
-50.444704,1600,20.674486
-44.040574,1600,21.415136
-128.011139,65,21.432597
-80.883394,1600,21.839709
-108.255269,113,21.868
-37.29056,1600,22.612413
-34.582436,1600,23.018504
-41.129444,1600,23.425049
-46.392066,1600,24.165625
-14.439714,1600,24.578634
-21.747079,1600,25.322646
-18.182431,1600,25.737368
3.157771,1600,26.146442
-10.740343,1600,26.885331
-12.48259,1600,27.290162
-18.828995,1600,27.694379
12.486404,1600,28.441039
-8.951259,1600,28.849946
-14.657492,1600,29.594282
40.227631,1600,30.003848
28.132559,1600,30.415764
17.312863,1600,31.168252
20.187945,1600,31.57747
37.922719,1600,32.319439
88.039077,1600,32.729816
54.976526,1600,33.13919
65.010952,1600,33.881195
-125.539468,61,33.897856
63.108538,1600,34.307761
