#{"t_start": 1766971802.593698, "env_id": "BipedalWalker-v3"}
r,l,t
-113.617066,64,0.636864
-116.68945,115,1.169064
-100.613991,57,1.478171
-116.946933,102,2.028763
-94.932989,1600,11.50356
-113.821428,61,11.88743
-119.127615,86,12.346258
-134.498317,345,14.198411
-108.969634,93,14.71386
-106.171253,101,15.289885
-115.577678,112,15.888953
-65.106183,1600,24.701072
-144.983424,335,26.533456
-137.71337,130,27.23002
-103.381303,64,27.575426
-138.165468,154,28.400505
-139.70977,174,29.346817
-172.595649,929,34.360667
-125.622148,81,34.793538
-136.850487,146,35.578437
-144.772004,317,37.369454
-159.040227,634,40.86628
-120.819516,212,42.013178
-117.805449,127,42.69674
-102.422885,125,43.37339
-105.152159,69,43.756177
-100.679909,64,44.100589
-141.948988,210,45.222995
-129.022778,131,45.933124
-140.947821,229,47.157224
-118.848989,143,47.921195
-127.872982,96,48.453944
-106.358032,133,49.214689
-125.844909,411,51.431124
-113.605335,173,52.357325
-100.698864,101,52.898743
-104.536777,53,53.191585
-106.916903,53,53.476696
-107.771096,64,53.827332
-102.278251,64,54.171441
-107.512962,69,54.55046
-116.87356,131,55.259304
-102.777837,62,55.592866
-109.267043,49,55.855462
-106.218513,80,56.29331
-105.964294,67,56.665105
-103.821153,73,57.05825
-106.520268,69,57.47414
-104.266188,63,57.828813
-104.838854,66,58.18463
-101.680942,100,58.720273
-104.840873,56,59.029643
-107.302793,51,59.313895
-100.553086,67,59.673962
-105.246495,121,60.319345
-103.41198,54,60.615894
-108.707348,37,60.825242
-105.389925,48,61.083588
-102.819522,66,61.435735
-101.600478,90,61.915652
-102.555802,84,62.374124
-102.176411,61,62.701717
-132.003931,230,63.940403
-106.569297,61,64.266921
-99.729496,59,64.591856
-102.844251,69,64.961146
-105.529289,50,65.229361
-98.146344,67,65.587906
-99.114468,84,66.044848
-99.54072,62,66.376875
-100.205426,63,66.714198
-99.788699,66,67.06868
-103.510937,73,67.469564
-96.548959,90,67.95262
-131.225237,539,71.147856
-102.924348,115,71.901354
-128.782139,308,73.717243
-174.36694,966,79.458591
-99.371907,86,79.980386
-114.721491,1600,96.08424
-99.650755,79,97.147348
-101.523698,96,97.815903
-99.518046,119,98.636
-101.372398,108,99.39812
-97.33914,89,99.99047
-122.259383,94,101.006385
-119.940405,1600,112.870611
-132.860272,272,114.382087
-102.879907,1600,123.628194
-110.402918,1600,132.757641
-85.710603,1600,141.718546
-85.551916,1600,150.451857
-95.404803,1600,159.232238
-98.847753,1600,167.948422
-93.869003,1600,176.629246
-90.778332,1600,185.298727
-143.51389,885,190.17743
-126.389354,472,192.748602
-103.123001,245,194.083831
-103.569716,145,194.867954
-103.513868,158,195.744478
-102.966557,160,196.739072
-103.165871,179,197.715798
-104.258815,152,198.541926
-109.507877,261,199.974358
-106.187907,211,201.136156
-107.219481,226,202.362846
-116.493091,1600,211.081942
-197.386545,1351,218.463397
-122.421576,172,219.392982
-109.723847,113,220.014907
-112.844853,141,220.784332
-155.341685,707,224.65743
-136.373487,102,225.208527
-105.310166,85,225.668724
-199.457705,1268,232.544634
-157.46459,558,235.585729
-161.69407,698,239.370582
-115.132158,1600,248.368419
-106.638304,1600,257.125603
-104.305706,1600,267.594844
-125.730807,110,268.20199
-70.541018,1600,277.099676
-104.313052,1600,285.792452
-139.217049,318,287.538102
-113.236408,204,288.649898
-111.676498,63,288.994012
-111.27275,74,289.396354
-109.65477,68,289.770013
-111.484909,75,290.178746
-109.637202,75,290.589744
-111.595588,40,290.808665
-109.945765,77,291.238003
-118.975866,105,291.812386
-132.632043,180,292.796462
-106.180446,96,293.316442
-129.240769,328,295.108677
-104.516882,166,296.009064
-115.714385,189,297.04358
-47.637785,1600,305.761194
-65.903384,1600,314.474473
-213.990721,1498,322.809147
-125.769637,1600,331.572466
-96.423999,1600,340.272721
-80.975214,1600,348.989553
-133.833712,127,349.682749
-185.900946,972,354.949061
-81.33834,1600,364.203964
-127.988938,160,365.092034
-84.627913,1600,373.923199
-83.586156,1600,382.740105
-78.667307,1600,391.896163
-106.448349,1600,401.319689
-69.7174,1600,410.368738
-57.78553,1600,419.313995
-35.963514,1600,428.528207
-104.093829,205,429.742297
-40.127236,1600,447.722283
-97.801048,1600,458.983868
-75.984901,1600,468.598362
-83.561571,1600,477.432155
-77.394313,1600,488.926127
-73.252934,1600,497.896268
-54.955189,1600,506.601204
-49.674652,1600,515.482713
-121.993393,129,516.195525
-58.764538,1600,525.102456
-41.230751,1600,533.935803
-46.341738,1600,543.013491
-107.393725,474,545.685615
-45.58151,1600,554.905937
-51.965036,1600,563.988531
-42.039881,1600,573.018463
-113.46511,141,573.805623
-60.925206,1600,582.633365
